Name,Data
Cell_1_Voltage,3.46173123918129
Cell_2_Voltage,3.3576360743337044
Cell_3_Voltage,3.3355973521635858
Cell_4_Voltage,3.3350469099220215
Cell_5_Voltage,3.317168138987363
Cell_6_Voltage,3.302543294394173
Cell_7_Voltage,3.316377317243138
Cell_8_Voltage,3.33258353265274
Cell_9_Voltage,3.385609286123971
Cell_10_Voltage,3.3038916356543004
Cell_11_Voltage,3.2972732956202164
Temp_1,55.439275719063794
Temp_2,58.41266374358687
Temp_3,59.15004314692363
Temp_4,59.63674346967031
Temp_5,55.83194631705968
Temp_6,58.28089763413695
Temp_7,57.7430043826893
Temp_8,59.618944547188626
Module_SOC,28.374682396034135
Module_Max_Voltage,3.46173123918129
Module_Min_Voltage,3.2972732956202164
Module_Max_Temp,59.63674346967031
Module_Avg_Temp,58.01418987003989
Module_Status,9
