Name,Data
Cell_1_Voltage,3.5320889495727203
Cell_2_Voltage,3.4464953930487265
Cell_3_Voltage,3.550934920276064
Cell_4_Voltage,3.584638497602495
Cell_5_Voltage,3.5240986139162467
Cell_6_Voltage,3.4873543059377643
Cell_7_Voltage,3.513475752528475
Cell_8_Voltage,3.4732937498933487
Cell_9_Voltage,3.6117523674314667
Cell_10_Voltage,3.465119822134043
Cell_11_Voltage,3.56272782537409
Temp_1,58.64554957915237
Temp_2,58.05307732358361
Temp_3,58.85363341563702
Temp_4,59.71450461895141
Temp_5,58.88453802537122
Temp_6,59.66989184941983
Temp_7,57.675156388401625
Temp_8,59.63970598349067
Module_SOC,43.57560755845032
Module_Max_Voltage,3.6117523674314667
Module_Min_Voltage,3.4464953930487265
Module_Max_Temp,59.71450461895141
Module_Avg_Temp,58.89200714800097
Module_Status,9
