Name,Data
Cell_1_Voltage,3.020123289294052
Cell_2_Voltage,3.0039097939011414
Cell_3_Voltage,3.022462016179555
Cell_4_Voltage,3.0464408972686363
Cell_5_Voltage,3.0152851419164723
Cell_6_Voltage,3.006387083683775
Cell_7_Voltage,3.0378090442277084
Cell_8_Voltage,3.004151801093631
Cell_9_Voltage,3.0028667077391216
Cell_10_Voltage,3.0195199690036336
Cell_11_Voltage,3.0150478848645648
Temp_1,57.659641092471645
Temp_2,56.719017453180996
Temp_3,58.469743420217604
Temp_4,59.67819495775119
Temp_5,59.0540147839352
Temp_6,56.6641252417069
Temp_7,55.368619049441484
Temp_8,58.9902038842794
Module_SOC,1.469724463426451
Module_Max_Voltage,3.0464408972686363
Module_Min_Voltage,3.0028667077391216
Module_Max_Temp,59.67819495775119
Module_Avg_Temp,57.82544498537305
Module_Status,13
