Name,Data
Cell_1_Voltage,3.3128929292782336
Cell_2_Voltage,3.398146501592873
Cell_3_Voltage,3.4213434205148485
Cell_4_Voltage,3.4245739752417306
Cell_5_Voltage,3.395020380310791
Cell_6_Voltage,3.3091311387783358
Cell_7_Voltage,3.3580905917639345
Cell_8_Voltage,3.4151489461465943
Cell_9_Voltage,3.377424355640253
Cell_10_Voltage,3.393407718356301
Cell_11_Voltage,3.431891537552625
Temp_1,57.66647054847342
Temp_2,57.19356806442894
Temp_3,60
Temp_4,57.60666345269173
Temp_5,58.73485166158121
Temp_6,59.700766131983826
Temp_7,55.788169988381846
Temp_8,59.31628342176971
Module_SOC,32.099026478610035
Module_Max_Voltage,3.431891537552625
Module_Min_Voltage,3.3091311387783358
Module_Max_Temp,60
Module_Avg_Temp,58.25084665866384
Module_Status,9
